"song","artist","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","popularity"
"Vertigo","U2","Alternative Rock",0.416,0.819,0.818181818181818,0.933766666666667,1,0.0613,0.000138,0.00108,0.122,0.632,0.140083,1,0.51
"Slither","Velvet Revolver","Alternative Rock",0.478,0.974,0.636363636363636,0.935566666666667,1,0.102,0.000266,0.0984,0.0738,0.268,0.141077,1,0.63
"Tongue Tied","Grouplove","Alternative Rock",0.56,0.936,0.272727272727273,0.90275,1,0.0439,0.00847,0,0.161,0.371,0.11296,1,0.81
"R U Mine?","Arctic Monkeys","Alternative Rock",0.288,0.758,0.545454545454545,0.905133333333333,0,0.0371,0.00616,0,0.303,0.619,0.097094,1,0.76
"Daft Punk Is Playing at My House","LCD Soundsystem","Alternative Rock",0.92,0.914,0.636363636363636,0.924083333333333,1,0.0444,0.0222,7.62e-05,0.114,0.974,0.135923,1,0.58
"Glycerine","Bush","Alternative Rock",0.437,0.337,0.454545454545455,0.80935,1,0.0326,0.0371,0.000946,0.0981,0.0784,0.114239,1,0.65
"Today - Remastered","The Smashing Pumpkins","Alternative Rock",0.456,0.826,0.727272727272727,0.87315,1,0.0268,3.35e-05,0.57,0.0548,0.415,0.082539,1,0.63
"Are You Gonna Be My Girl","Jet","Alternative Rock",0.613,0.953,0.181818181818182,0.94275,1,0.0855,0.00148,0.000582,0.152,0.537,0.105046,1,0.75
"Lazy Eye","Silversun Pickups","Alternative Rock",0.633,0.831,0.363636363636364,0.915783333333333,1,0.0461,0.0401,0.693,0.117,0.243,0.127397,1,0.52
"When You Were Young","The Killers","Alternative Rock",0.467,0.988,1,0.944783333333333,1,0.112,0.000152,0.0484,0.28,0.321,0.130433,1,0.75
"Sweetness","Jimmy Eat World","Alternative Rock",0.491,0.888,0.454545454545455,0.926466666666667,1,0.038,0.00407,0,0.286,0.656,0.135253,1,0
"Float On","Modest Mouse","Alternative Rock",0.649,0.888,0.545454545454545,0.919883333333333,1,0.0293,0.013,2.23e-06,0.0888,0.553,0.100975,1,0.7
"Do I Wanna Know?","Arctic Monkeys","Alternative Rock",0.548,0.532,0.454545454545455,0.8734,1,0.0323,0.186,0.000263,0.217,0.405,0.08503,1,0.82
"Beverly Hills","Weezer","Alternative Rock",0.693,0.823,0.454545454545455,0.937316666666667,1,0.0726,0.0932,0,0.328,0.741,0.087904,1,0.7
"A-Punk","Vampire Weekend","Alternative Rock",0.548,0.816,0.181818181818182,0.925366666666667,1,0.0499,0.0104,0.0543,0.152,0.857,0.174993,1,0.66
"Cough Syrup","Young the Giant","Alternative Rock",0.534,0.721,1,0.878216666666667,0,0.0417,0.0343,6.24e-06,0.115,0.225,0.128978,0,0.71
"Left Hand Free","alt-J","Alternative Rock",0.697,0.877,0.272727272727273,0.925583333333333,1,0.0462,0.462,0.00943,0.083,0.802,0.10199,1,0.72
"Two Weeks","Grizzly Bear","Alternative Rock",0.537,0.712,0.454545454545455,0.906716666666667,1,0.0286,0.289,0.00568,0.08,0.704,0.159871,1,0.68
"Seven Nation Army","The White Stripes","Alternative Rock",0.75,0.462,0,0.872266666666667,1,0.0779,0.00576,0.545,0.307,0.309,0.123865,1,0
"Take Me Out","Franz Ferdinand","Alternative Rock",0.278,0.676,0.818181818181818,0.852983333333333,1,0.0371,0.000423,0.000899,0.136,0.494,0.104545,1,0.73
"Miss Murder","AFI","Alternative Rock",0.308,0.873,0.727272727272727,0.9243,1,0.0533,0.00022,0.000729,0.0974,0.686,0.143519,1,0.69
"Miss Murder","AFI","Punk",0.308,0.873,0.727272727272727,0.9243,1,0.0533,0.00022,0.000729,0.0974,0.686,0.143519,1,0.69
"Joker And The Thief","Wolfmother","Alternative Rock",0.264,0.78,0,0.954316666666667,1,0.0517,0.0452,0.0222,0.376,0.456,0.155376,1,0.66
"Steady, as She Goes","The Raconteurs","Alternative Rock",0.53,0.603,0.818181818181818,0.927116666666667,1,0.115,0.0122,0.0196,0.0835,0.549,0.123006,1,0.48
"Howlin' for You","The Black Keys","Alternative Rock",0.705,0.735,1,0.889233333333333,1,0.0931,0.028,0.0783,0.112,0.448,0.132627,1,0.66
"Electric Feel","MGMT","Alternative Rock",0.763,0.807,0.0909090909090909,0.9381,1,0.035,0.0714,0.28,0.348,0.559,0.103038,0,0.78
"Sex on Fire","Kings of Leon","Alternative Rock",0.542,0.905,0.818181818181818,0.905783333333333,1,0.054,0.00172,0.0104,0.136,0.374,0.153398,1,0.79
"Banquet","Bloc Party","Alternative Rock",0.578,0.892,0.909090909090909,0.867466666666667,0,0.0441,0.000139,0.0111,0.215,0.892,0.150253,1,0.59
"Last Nite","The Strokes","Alternative Rock",0.624,0.899,0,0.904833333333333,1,0.0295,0.0223,0.000155,0.0975,0.797,0.104055,1,0.64
"Soul Meets Body","Death Cab for Cutie","Alternative Rock",0.63,0.772,0.181818181818182,0.860566666666667,0,0.0251,0.124,0.000432,0.116,0.717,0.128133,1,0.56
"Black Hole Sun","Soundgarden","Alternative Rock",0.35,0.828,0.545454545454545,0.91045,1,0.041,0.000217,0.000161,0.0774,0.147,0.105435,1,0.75
"Feel Good Inc.","Gorillaz","Alternative Rock",0.818,0.705,0.545454545454545,0.888683333333333,1,0.177,0.00836,0.00233,0.613,0.772,0.138559,1,0.8
"Radioactive","Imagine Dragons","Alternative Rock",0.448,0.784,0.818181818181818,0.938566666666667,1,0.0627,0.106,0.000108,0.668,0.236,0.136245,1,0.72
"Lonely Boy","The Black Keys","Alternative Rock",0.356,0.872,0.181818181818182,0.869383333333333,1,0.068,0.00417,0.00975,0.0997,0.607,0.1663,1,0.72
"Kids","MGMT","Alternative Rock",0.451,0.931,0.818181818181818,0.935483333333333,1,0.0719,0.00076,0.0049,0.361,0.172,0.122961,1,0.78
"Semi-Charmed Life","Third Eye Blind","Alternative Rock",0.64,0.864,0.636363636363636,0.8904,1,0.0315,0.00832,0,0.123,0.7,0.102026,1,0.74
"Everlong","Foo Fighters","Alternative Rock",0.412,0.882,1,0.907666666666667,0,0.0369,5.96e-05,0.00031,0.0805,0.356,0.158066,1,0.76
"1901","Phoenix","Alternative Rock",0.604,0.825,0,0.91045,1,0.0429,0.0564,5.8e-05,0.192,0.707,0.144085,1,0
"Pumped up Kicks","Foster The People","Alternative Rock",0.733,0.71,0.454545454545455,0.902516666666667,0,0.0292,0.145,0.115,0.0956,0.965,0.127975,1,0
"Closer","Nine Inch Nails","Alternative Rock",0.559,0.725,0.909090909090909,0.85615,0,0.0426,0.000365,0.553,0.112,0.501,0.090012,1,0.01
"Been Caught Stealing","Jane's Addiction","Alternative Rock",0.683,0.9,0.636363636363636,0.8749,1,0.105,0.0146,0.0706,0.296,0.616,0.103625,1,0.57
"Losing My Religion","R.E.M.","Alternative Rock",0.666,0.855,0.818181818181818,0.915816666666667,0,0.0295,0.179,1.2e-06,0.0987,0.803,0.125639,1,0.8
"Sugar, We're Goin Down","Fall Out Boy","Alternative Rock",0.494,0.841,0.636363636363636,0.920266666666667,1,0.0838,0.00579,0,0.122,0.567,0.162013,1,0
"Numb","Linkin Park","Alternative Rock",0.496,0.863,0.818181818181818,0.930783333333333,1,0.0381,0.0046,0,0.639,0.243,0.110018,1,0.81
"Jeremy","Pearl Jam","Alternative Rock",0.285,0.846,0.181818181818182,0.892133333333333,1,0.0438,0.0404,0,0.182,0.287,0.108808,1,0.72
"All The Small Things","blink-182","Alternative Rock",0.439,0.891,0,0.9206,1,0.057,0.0122,0,0.547,0.695,0.148599,1,0.07
"When I Come Around","Green Day","Alternative Rock",0.531,0.909,1,0.9294,1,0.034,0.0175,0,0.231,0.814,0.097546,1,0.74
"When I Come Around","Green Day","Punk",0.531,0.909,1,0.9294,1,0.034,0.0175,0,0.231,0.814,0.097546,1,0.74
"No One Knows","Queens of the Stone Age","Alternative Rock",0.507,0.588,0,0.91865,1,0.0641,0.0359,0.000129,0.373,0.637,0.170889,1,0.65
"Fell In Love With A Girl","The White Stripes","Alternative Rock",0.235,0.977,0,0.973233333333333,1,0.141,0.676,0.000249,0.8,0.379,0.091929,1,0
"3 Libras","A Perfect Circle","Alternative Rock",0.518,0.744,0.818181818181818,0.862533333333333,1,0.0374,0.00383,0.007,0.078,0.211,0.144019,0,0.59
"Wish You Were Here","Incubus","Alternative Rock",0.246,0.768,0.818181818181818,0.875333333333333,1,0.0387,0.000631,0.301,0.102,0.35,0.169873,1,0.01
"Change (In the House of Flies)","Deftones","Alternative Rock",0.269,0.853,0.636363636363636,0.92255,0,0.0854,0.000249,0.000246,0.118,0.179,0.141581,1,0.66
"Sing","Travis","Alternative Rock",0.33,0.905,0.363636363636364,0.915883333333333,1,0.0497,0.000233,8.14e-06,0.0712,0.259,0.163142,1,0
"Killed By An Angel","Sunny Day Real Estate","Alternative Rock",0.345,0.912,0.818181818181818,0.910616666666667,1,0.0546,0.000646,0.00122,0.109,0.391,0.140859,1,0.4
"HandClap","Fitz and The Tantrums","Alternative Rock",0.636,0.836,0.727272727272727,0.949933333333333,1,0.0427,0.00609,0.000157,0.0828,0.715,0.139956,1,0.66
"Sleepyhead","Passion Pit","Alternative Rock",0.569,0.72,0.727272727272727,0.910433333333333,1,0.0355,0.118,1.21e-06,0.253,0.528,0.106012,1,0
"Starlight","Muse","Alternative Rock",0.55,0.874,0.363636363636364,0.932566666666667,1,0.0321,0.000436,1.02e-05,0.206,0.318,0.12161,1,0.72
"Welcome to the Black Parade","My Chemical Romance","Alternative Rock",0.217,0.905,0.181818181818182,0.931616666666667,1,0.0752,0.000289,0.00011,0.222,0.236,0.09695,1,0.77
"Woman","Wolfmother","Alternative Rock",0.219,0.952,0.181818181818182,0.93965,1,0.176,5.1e-05,0.0989,0.157,0.172,0.112886,-2,0.6
"I Believe in a Thing Called Love","The Darkness","Alternative Rock",0.442,0.846,0.363636363636364,0.9131,1,0.0764,0.0538,4.71e-06,0.282,0.622,0.128235,1,0.68
"Somebody That I Used To Know","Gotye","Alternative Rock",0.864,0.495,0,0.882733333333333,1,0.037,0.591,0.000133,0.0992,0.72,0.129062,1,0.75
"Alive With The Glory Of Love","Say Anything","Alternative Rock",0.358,0.912,0.818181818181818,0.922816666666667,1,0.121,0.0541,0,0.183,0.626,0.202789,1,0
"Centuries","Fall Out Boy","Alternative Rock",0.393,0.858,0.363636363636364,0.9522,0,0.0729,0.00359,0,0.102,0.56,0.176042,1,0.79
"My Type","Saint Motel","Alternative Rock",0.595,0.896,0.909090909090909,0.950816666666667,1,0.047,0.0641,5.82e-05,0.0748,0.567,0.118001,1,0.69
"Cannonball","The Breeders","Alternative Rock",0.502,0.758,0.272727272727273,0.837333333333333,1,0.0407,0.00915,0.783,0.284,0.729,0.112508,1,0.64
"Misery Business","Paramore","Alternative Rock",0.517,0.906,0.0909090909090909,0.938716666666667,1,0.0735,0.00272,9.26e-06,0.113,0.731,0.172977,1,0.71
"Misery Business","Paramore","Punk",0.517,0.906,0.0909090909090909,0.938716666666667,1,0.0735,0.00272,9.26e-06,0.113,0.731,0.172977,1,0.71
"House Of Jealous Lovers","The Rapture","Alternative Rock",0.738,0.764,0.0909090909090909,0.9285,1,0.0347,0.00037,0.278,0.292,0.777,0.130011,1,0.43
"Close to Me - 2006 Remaster","The Cure","Alternative Rock",0.725,0.524,1,0.81465,1,0.116,0.0748,0.764,0.0819,0.961,0.185134,1,0.6
"Still in Love Song","The Stills","Alternative Rock",0.566,0.796,0.363636363636364,0.9094,0,0.0255,0.000541,0.313,0.121,0.406,0.130986,1,0.39
"Idioteque","Radiohead","Alternative Rock",0.615,0.931,0.272727272727273,0.87,1,0.24,0.0352,2.37e-05,0.0914,0.53,0.137544,0,0.58
"Dog Days Are Over","Florence + The Machine","Alternative Rock",0.492,0.81,0.636363636363636,0.911416666666667,1,0.0847,0.0416,0.00379,0.117,0.245,0.149954,1,0.69
"Heart-Shaped Box","Nirvana","Alternative Rock",0.256,0.641,0.0909090909090909,0.828616666666667,1,0.0552,0.199,0.0329,0.0853,0.382,0.203006,1,0.74
"Aerials","System Of A Down","Alternative Rock",0.364,0.922,0,0.929716666666667,0,0.0566,0.000918,0.035,0.0696,0.227,0.079342,1,0.73
"The Kill","Thirty Seconds To Mars","Alternative Rock",0.179,0.912,0.363636363636364,0.935316666666667,0,0.0791,0.0014,0.000294,0.582,0.289,0.18299,0,0.71
"Y Control","Yeah Yeah Yeahs","Alternative Rock",0.456,0.955,0,0.921883333333333,1,0.101,0.0063,0.0209,0.432,0.084,0.131967,1,0
"I Will Possess Your Heart","Death Cab for Cutie","Alternative Rock",0.605,0.619,0.818181818181818,0.850483333333333,0,0.0261,0.423,0.313,0.0732,0.578,0.133074,1,0.56
"Rebellion (Lies)","Arcade Fire","Alternative Rock",0.402,0.927,0.727272727272727,0.905333333333333,1,0.0357,0.00805,0.597,0.319,0.729,0.127191,1,0
"Santeria","Sublime","Alternative Rock",0.682,0.765,0.0909090909090909,0.916316666666667,0,0.0395,0.0268,3.42e-05,0.188,0.567,0.090807,1,0.76
"Helena","My Chemical Romance","Alternative Rock",0.356,0.96,0.363636363636364,0.941883333333333,1,0.104,0.0142,0,0.209,0.0857,0.125921,1,0.72
"Such Great Heights","The Postal Service","Alternative Rock",0.653,0.818,0.454545454545455,0.864583333333333,1,0.047,0.00907,0.23,0.0703,0.198,0.174984,1,0
"Otherside","Red Hot Chili Peppers","Alternative Rock",0.458,0.795,0,0.945583333333333,1,0.0574,0.00316,0.000202,0.0756,0.513,0.123229,1,0.78
"Mysterious Ways","U2","Alternative Rock",0.674,0.659,0.727272727272727,0.86585,1,0.0277,0.00156,0.00765,0.108,0.697,0.099768,1,0.61
"Sweet Disposition","The Temper Trap","Alternative Rock",0.531,0.821,0.181818181818182,0.886466666666667,1,0.0439,0.0701,0.171,0.124,0.34,0.129139,1,0.64
"California - Tchad Blake Mix","Phantom Planet","Alternative Rock",0.398,0.789,0.363636363636364,0.876116666666667,1,0.0406,0.0353,3.24e-05,0.0714,0.312,0.158486,1,0.48
"Bitter Sweet Symphony","The Verve","Alternative Rock",0.356,0.917,0.818181818181818,0.8999,1,0.0479,0.0335,0,0.406,0.518,0.171176,1,0.78
"Is There A Ghost","Band of Horses","Alternative Rock",0.3,0.843,0.0909090909090909,0.935983333333333,1,0.0354,0.0049,4.86e-06,0.079,0.139,0.135648,1,0
"Viva La Vida","Coldplay","Alternative Rock",0.485,0.619,0.454545454545455,0.881416666666667,0,0.0289,0.0941,3.31e-06,0.109,0.416,0.138017,1,0.27
"Hate To Say I Told You So","The Hives","Alternative Rock",0.451,0.929,0.454545454545455,0.916316666666667,1,0.0549,0.00109,0.00785,0.442,0.378,0.135767,1,0.58
"Club Foot","Kasabian","Alternative Rock",0.237,0.919,0,0.885116666666667,1,0.0814,0.0257,2.31e-05,0.0914,0.123,0.101758,1,0.36
"Everything Is Alright","Motion City Soundtrack","Alternative Rock",0.435,0.95,0.727272727272727,0.935516666666667,1,0.106,0.000494,0,0.317,0.457,0.160987,1,0.62
"Cute Without the ""E"" (Cut From the Team)","Taking Back Sunday","Alternative Rock",0.402,0.859,0.0909090909090909,0.9265,0,0.0466,0.0394,0,0.0745,0.514,0.09531,1,0
"Cute Without the ""E"" (Cut From the Team)","Taking Back Sunday","Punk",0.402,0.859,0.0909090909090909,0.9265,0,0.0466,0.0394,0,0.0745,0.514,0.09531,1,0
"All Apologies","Nirvana","Alternative Rock",0.446,0.632,0.0909090909090909,0.796716666666667,1,0.034,0.0793,0.000266,0.0881,0.359,0.113176,1,0.67
"No Rain","Blind Melon","Alternative Rock",0.389,0.476,0.818181818181818,0.8443,1,0.0316,0.619,5.09e-05,0.255,0.566,0.148117,1,0.73
"Interstate Love Song","Stone Temple Pilots","Alternative Rock",0.214,0.947,0.363636363636364,0.915783333333333,1,0.0507,0.000552,0.00352,0.238,0.483,0.170616,1,0.12
"Under the Bridge","Red Hot Chili Peppers","Alternative Rock",0.559,0.345,0.363636363636364,0.775066666666667,1,0.0459,0.0576,0.000105,0.141,0.458,0.084581,1,0.81
"This Is War","Thirty Seconds To Mars","Alternative Rock",0.402,0.723,0.545454545454545,0.912333333333333,1,0.0579,0.0663,2e-06,0.233,0.224,0.160047,1,0.52
"Formed a Band","Art Brut","Alternative Rock",0.41,0.886,1,0.939483333333333,0,0.0438,0.000649,0.0169,0.0952,0.712,0.140037,1,0.35
"Maps","Yeah Yeah Yeahs","Alternative Rock",0.532,0.925,0.636363636363636,0.9006,1,0.074,0.0013,0.306,0.508,0.171,0.119776,1,0
"1234","Feist","Alternative Rock",0.71,0.484,0.181818181818182,0.876416666666667,1,0.049,0.217,3.93e-06,0.0879,0.576,0.109951,1,0.6
"The Underdog","Spoon","Alternative Rock",0.684,0.65,0.636363636363636,0.89255,1,0.034,0.0567,0.000412,0.703,0.889,0.145062,1,0
"Young Folks","Peter Bjorn and John","Alternative Rock",0.701,0.815,0,0.900083333333333,1,0.038,0.0172,0.000627,0.0969,0.67,0.138142,1,0.63
"Seether","Veruca Salt","Alternative Rock",0.612,0.848,0.727272727272727,0.847033333333333,1,0.0463,0.00291,0.00319,0.0687,0.632,0.136196,1,0.52
"Heathens","Twenty One Pilots","Alternative Rock",0.732,0.396,0.363636363636364,0.8442,0,0.0286,0.0841,3.58e-05,0.105,0.548,0.090024,1,0.81
"I Write Sins Not Tragedies","Panic! At The Disco","Alternative Rock",0.569,0.83,0.818181818181818,0.931566666666667,0,0.14,0.0807,0,0.114,0.609,0.170094,1,0.74
"I Write Sins Not Tragedies","Panic! At The Disco","Punk",0.569,0.83,0.818181818181818,0.931566666666667,0,0.14,0.0807,0,0.114,0.609,0.170094,1,0.74
"Teenagers","My Chemical Romance","Alternative Rock",0.463,0.857,0.363636363636364,0.94895,1,0.0632,0.0506,0,0.184,0.856,0.111647,1,0.76
"An Honest Mistake - CD Album Version","The Bravery","Alternative Rock",0.481,0.874,0.181818181818182,0.930116666666667,0,0.0292,4.19e-06,0.555,0.11,0.618,0.14007,1,0
"Holiday / Boulevard of Broken Dreams","Green Day","Alternative Rock",0.29,0.827,0.727272727272727,0.942483333333333,1,0.0362,0.000659,2.55e-06,0.301,0.45,0.167086,1,0.61
"The Hand That Feeds","Nine Inch Nails","Alternative Rock",0.587,0.99,0,0.925066666666667,1,0.0783,0.0172,0.000668,0.104,0.486,0.127992,1,0.6
"Weak And Powerless","A Perfect Circle","Alternative Rock",0.483,0.841,0.0909090909090909,0.8751,0,0.0523,0.000172,0.861,0.108,0.13,0.159747,0,0.57
"Yellow","Coldplay","Alternative Rock",0.429,0.661,1,0.87955,1,0.0281,0.00239,0.00013,0.234,0.285,0.173365,1,0.81
"Smooth Criminal","Alien Ant Farm","Alternative Rock",0.653,0.964,0.818181818181818,0.928983333333333,0,0.0582,0.00316,0.00512,0.144,0.87,0.126928,1,0.72
"Just Because","Jane's Addiction","Alternative Rock",0.369,0.996,0.909090909090909,0.974483333333333,0,0.0931,3.83e-05,0.14,0.249,0.209,0.098162,1,0.54
"A Favor House Atlantic","Coheed and Cambria","Alternative Rock",0.327,0.977,0.363636363636364,0.94945,1,0.254,0.000872,0,0.145,0.179,0.166505,1,0
"Drive","Incubus","Alternative Rock",0.645,0.792,0.363636363636364,0.877666666666667,0,0.036,0.0562,0.0121,0.119,0.666,0.090565,1,0.74
"Beating Heart Baby","Head Automatica","Alternative Rock",0.458,0.971,0.727272727272727,0.924183333333333,1,0.1,0.0027,0,0.179,0.49,0.149944,1,0.52
"Young Blood","The Naked And Famous","Alternative Rock",0.579,0.865,0.545454545454545,0.9218,1,0.0302,5.63e-05,0.000221,0.649,0.358,0.10499,1,0.67
"Come As You Are","Nirvana","Alternative Rock",0.5,0.824,0.363636363636364,0.902566666666667,0,0.0388,0.00016,0.00161,0.0916,0.539,0.120125,1,0.71
"Alive","Pearl Jam","Alternative Rock",0.284,0.875,1,0.89885,0,0.0422,0.00752,0.000461,0.402,0.595,0.075009,1,0.75
"House Of Cards","Radiohead","Alternative Rock",0.71,0.496,0.454545454545455,0.839366666666667,1,0.0297,0.278,0.581,0.101,0.637,0.111662,1,0.62
"Chasing Cars","Snow Patrol","Alternative Rock",0.563,0.592,0.818181818181818,0.923816666666667,1,0.0276,0.209,5.08e-05,0.132,0.136,0.104016,1,0.78
"Someday","The Strokes","Alternative Rock",0.538,0.52,0.818181818181818,0.875666666666667,1,0.0299,0.00425,0,0.367,0.678,0.106031,1,0.64
"Little Secrets","Passion Pit","Alternative Rock",0.612,0.787,0.454545454545455,0.929033333333333,1,0.0394,0.00368,0,0.0978,0.656,0.099975,1,0
"Best of You","Foo Fighters","Alternative Rock",0.366,0.94,0.0909090909090909,0.914683333333333,0,0.0696,0.000769,9.42e-05,0.188,0.369,0.130198,1,0.75
"Killing In The Name","Rage Against The Machine","Alternative Rock",0.466,0.833,0.636363636363636,0.92975,1,0.304,0.0266,0,0.0327,0.661,0.088785,1,0.78
"Heartbeats","The Knife","Alternative Rock",0.649,0.753,0.727272727272727,0.91875,1,0.0319,0.0209,5.81e-05,0.105,0.46,0.08799,1,0.52
"Lisztomania","Phoenix","Alternative Rock",0.642,0.808,0,0.893233333333333,1,0.0463,0.0383,0.00829,0.547,0.273,0.097565,1,0
"In the End","Linkin Park","Alternative Rock",0.556,0.864,0.272727272727273,0.902166666666667,0,0.0584,0.00958,0,0.209,0.4,0.105143,1,0.83
"Karma Police","Radiohead","Alternative Rock",0.36,0.505,0.636363636363636,0.84785,1,0.026,0.0626,9.22e-05,0.172,0.317,0.074807,1,0.73
"Fat Lip","Sum 41","Alternative Rock",0.402,0.914,0.818181818181818,0.913083333333333,1,0.142,0.000579,0,0.065,0.626,0.196505,1,0.72
"Everyday I Love You Less and Less","Kaiser Chiefs","Alternative Rock",0.504,0.949,0.0909090909090909,0.925433333333333,0,0.0416,0.00594,2.91e-06,0.242,0.581,0.160037,1,0
"Dance, Dance","Fall Out Boy","Alternative Rock",0.62,0.961,1,0.9467,0,0.154,0.00523,0,0.0854,0.449,0.114448,1,0.01
"Sabotage","Beastie Boys","Alternative Rock",0.324,0.938,0.545454545454545,0.8778,0,0.102,0.032,0.0321,0.0961,0.543,0.168131,1,0.71
"You're Gonna Go Far, Kid","The Offspring","Alternative Rock",0.55,0.918,0.818181818181818,0.94735,0,0.0682,0.00466,0,0.206,0.563,0.126083,1,0
"You're Gonna Go Far, Kid","The Offspring","Punk",0.55,0.918,0.818181818181818,0.94735,0,0.0682,0.00466,0,0.206,0.563,0.126083,1,0
"Pardon Me","Incubus","Alternative Rock",0.579,0.812,0.0909090909090909,0.891516666666667,0,0.0693,0.00114,0.00333,0.115,0.278,0.152002,1,0.67
"Get Free","The Vines","Alternative Rock",0.502,0.978,0.636363636363636,0.945366666666667,1,0.0649,0.000163,1.27e-06,0.287,0.603,0.138811,1,0.59
"Reptilia","The Strokes","Alternative Rock",0.486,0.666,0.818181818181818,0.915266666666667,1,0.033,0.000563,0.789,0.101,0.741,0.157992,1,0.72
"Move Along","The All-American Rejects","Alternative Rock",0.518,0.916,0.272727272727273,0.9357,1,0.0454,0.000148,0,0.291,0.646,0.109864,1,0.66
"Even Flow","Pearl Jam","Alternative Rock",0.394,0.944,0.909090909090909,0.891566666666667,0,0.0761,0.00178,4.54e-06,0.298,0.265,0.105338,1,0.74
"1979 - Remastered 2012","The Smashing Pumpkins","Alternative Rock",0.767,0.787,0.272727272727273,0.83505,1,0.0331,0.0163,0.583,0.0513,0.964,0.126879,1,0.74
"The Anthem","Good Charlotte","Alternative Rock",0.494,0.939,0.0909090909090909,0.947883333333333,1,0.126,0.00666,0,0.139,0.893,0.177751,1,0.73
"The Anthem","Good Charlotte","Punk",0.494,0.939,0.0909090909090909,0.947883333333333,1,0.126,0.00666,0,0.139,0.893,0.177751,1,0.73
"Don't Look Back In Anger - Remastered","Oasis","Alternative Rock",0.333,0.922,0,0.931883333333333,1,0.0592,0.0596,2.05e-06,0.126,0.335,0.162978,1,0.63
"Kings And Queens","Thirty Seconds To Mars","Alternative Rock",0.293,0.817,0.727272727272727,0.909466666666667,1,0.0852,0.0401,3.4e-05,0.13,0.145,0.165,1,0.51
"Animal","Miike Snow","Alternative Rock",0.774,0.721,0.545454545454545,0.888966666666667,0,0.0773,0.0126,6.49e-06,0.0952,0.654,0.118048,1,0.6
"Walking On A Dream","Empire of the Sun","Alternative Rock",0.87,0.699,0.454545454545455,0.90765,0,0.0459,0.245,6.76e-06,0.0588,0.726,0.126967,1,0.65
"Figure It Out","Royal Blood","Alternative Rock",0.658,0.814,0,0.922816666666667,1,0.0558,0.229,0.00676,0.216,0.69,0.108016,1,0.57
"That's Not My Name","The Ting Tings","Alternative Rock",0.755,0.901,0.818181818181818,0.947466666666667,1,0.0893,0.0451,0.0373,0.363,0.959,0.145042,1,0.48
"Hard to Beat","Hard-FI","Alternative Rock",0.56,0.841,0.909090909090909,0.924466666666667,1,0.0664,0.00191,5.33e-06,0.182,0.78,0.125219,1,0.42
"Basket Case","Green Day","Alternative Rock",0.442,0.943,0.272727272727273,0.946583333333333,1,0.0602,0.00293,8.71e-06,0.091,0.781,0.085064,1,0.78
"Basket Case","Green Day","Punk",0.442,0.943,0.272727272727273,0.946583333333333,1,0.0602,0.00293,8.71e-06,0.091,0.781,0.085064,1,0.78
"Cigarette Daydreams","Cage The Elephant","Alternative Rock",0.635,0.675,0.181818181818182,0.942583333333333,1,0.0263,0.0801,0,0.0831,0.273,0.113946,1,0.73
"Heavy Cross","Gossip","Alternative Rock",0.793,0.688,0.181818181818182,0.929733333333333,1,0.0328,0.079,0.0604,0.145,0.221,0.120058,1,0.57
"The Taste of Ink","The Used","Alternative Rock",0.541,0.904,0.636363636363636,0.949983333333333,1,0.0435,0.00143,0,0.193,0.541,0.098122,1,0.64
"I Miss You","blink-182","Alternative Rock",0.651,0.764,1,0.893283333333333,1,0.0341,0.00121,1.14e-05,0.079,0.681,0.110022,1,0
"Notion","Kings of Leon","Alternative Rock",0.433,0.887,0.363636363636364,0.914816666666667,1,0.047,0.00597,2.87e-05,0.119,0.426,0.142968,1,0
"Show Me How to Live","Audioslave","Alternative Rock",0.433,0.854,0.818181818181818,0.935533333333333,1,0.0483,0.000336,0.000177,0.162,0.368,0.0894,1,0.4
"You Oughta Know - 2015 Remaster","Alanis Morissette","Alternative Rock",0.665,0.834,0.363636363636364,0.87105,1,0.0576,0.21,0,0.452,0.411,0.105292,1,0.67
"Echoes","The Rapture","Alternative Rock",0.606,0.94,0.727272727272727,0.94365,0,0.268,0.000319,0.021,0.0933,0.31,0.133964,1,0.41
"Clint Eastwood","Gorillaz","Alternative Rock",0.663,0.694,0.909090909090909,0.856216666666667,0,0.172,0.0249,0,0.0698,0.524,0.167964,1,0.69
"Scar Tissue","Red Hot Chili Peppers","Alternative Rock",0.595,0.717,0,0.91995,1,0.0295,0.0779,0.00274,0.108,0.547,0.088969,1,0.76
"I Predict A Riot","Kaiser Chiefs","Alternative Rock",0.392,0.982,0.727272727272727,0.9469,1,0.0939,0.0308,0,0.131,0.397,0.158865,1,0
"Somebody Told Me","The Killers","Alternative Rock",0.509,0.987,0.909090909090909,0.9467,0,0.0886,8.05e-05,0.000928,0.119,0.647,0.138039,1,0.69
"I Disappear","The Faint","Alternative Rock",0.627,0.86,0.181818181818182,0.872566666666667,1,0.0443,0.00207,0.0329,0.108,0.677,0.138086,1,0.44
"Unbelievers","Vampire Weekend","Alternative Rock",0.644,0.811,1,0.871983333333333,1,0.0499,0.142,0.000629,0.169,0.831,0.154903,1,0.61
"Like a Stone","Audioslave","Alternative Rock",0.614,0.568,0.636363636363636,0.908716666666667,0,0.0276,0.00797,0,0.0997,0.516,0.107849,1,0.75
