"song","artist","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","popularity"
"Take A Pebble","Emerson, Lake & Palmer","Progressive Rock",0.376,0.266,0.272727272727273,0.718483333333333,1,0.0452,0.471,0.0235,0.401,0.0985,0.106995,1,0
"Absinthe & A Cracker","TU","Progressive Rock",0.66,0.726,0.636363636363636,0.879983333333333,1,0.0508,0.00766,0.868,0.27,0.275,0.123468,2,0.22
"Red","Brand X","Progressive Rock",0.372,0.581,1,0.8276,1,0.0304,0.0106,0.899,0.0979,0.143,0.096214,1,0.25
"In The Dead Of Night","U.K.","Progressive Rock",0.519,0.604,0.363636363636364,0.816483333333333,0,0.0581,0.218,5.66e-05,0.222,0.768,0.153644,-2,0.36
"A Plague Of Lighthouse Keepers (Medley) - 2005 Digital Remaster","Van Der Graaf Generator","Progressive Rock",0.115,0.668,0,0.860616666666667,1,0.0594,0.0178,1.85e-05,0.101,0.0728,0.074857,1,0.28
"Archangel Thunderbird","Amon Düül II","Progressive Rock",0.473,0.446,0.636363636363636,0.7894,1,0.0376,0.0074,2.82e-05,0.558,0.414,0.115737,1,0
"La mente vola","Alphataurus","Progressive Rock",0.301,0.751,0.0909090909090909,0.8886,1,0.0426,2.3e-05,0.0396,0.0854,0.162,0.121677,1,0.31
"The Magician's Birthday","Uriah Heep","Progressive Rock",0.328,0.898,0.818181818181818,0.820666666666667,1,0.102,0.0124,0.269,0.228,0.495,0.139533,1,0
"Birds of Fire","Mahavishnu Orchestra","Progressive Rock",0.247,0.986,0.363636363636364,0.8724,1,0.116,0.0605,0.464,0.0365,0.0827,0.107952,2,0.34
"Phoenix","Wishbone Ash","Progressive Rock",0.304,0.569,0.363636363636364,0.78135,0,0.068,0.12,0.305,0.136,0.342,0.090745,0,0
"Appena un po'","Premiata Forneria Marconi","Progressive Rock",0.375,0.206,0.181818181818182,0.6922,0,0.0372,0.457,0.139,0.158,0.205,0.13445,0,0.35
"Bulerias","Carmen","Progressive Rock",0.468,0.86,0.727272727272727,0.877316666666667,1,0.135,0.000706,0.00205,0.323,0.665,0.137211,1,0
"Close to the Edge (i. The Solid Time of Change, ii. Total Mass Retain, iii. I Get up I Get Down, iv. Seasons of Man) - 2003 Remaster","Yes","Progressive Rock",0.222,0.597,0.454545454545455,0.817933333333333,1,0.056,0.265,0.155,0.411,0.251,0.080654,0,0.46
"Frankenstein","The Edgar Winter Group","Progressive Rock",0.628,0.669,0.181818181818182,0.756066666666667,0,0.0932,0.0901,0.898,0.237,0.5,0.096152,1,0.44
"Fool's Overture","Supertramp","Progressive Rock",0.412,0.307,0.272727272727273,0.824966666666667,1,0.0362,0.325,0.00945,0.0612,0.0722,0.132123,1,0
"The Four Horsemen","Aphrodite's Child","Progressive Rock",0.277,0.652,0.363636363636364,0.808,0,0.0495,0.0612,0.000653,0.14,0.184,0.09273,1,0
"Starless And Bible Black","King Crimson","Progressive Rock",0.257,0.403,0.636363636363636,0.700466666666667,1,0.0604,0.0131,0.353,0.126,0.0399,0.148854,1,0.05
"Diary Of An Empty Day","The Nice","Progressive Rock",0.4,0.52,0.181818181818182,0.79625,1,0.0323,0.0646,0.405,0.223,0.51,0.103225,0,0.2
"Garden - 2003 Remastered Version","The Groundhogs","Progressive Rock",0.417,0.556,0.636363636363636,0.811483333333333,1,0.0312,0.0504,0.0175,0.197,0.481,0.110622,1,0
